Order Date,Order Ref No,Customer Ref,Order Number,Product Key,Region Key,Order Quantity
09/12/2017,2017XX263369,123631,ON#2427,283,111,4
09/12/2017,2017XX263369,123631,ON#2395,275,184,4
13/07/2017,2017XX249901,124156,ON#2404,203,133,3
12/11/2016,2016YY220179,131446,ON#2432,359,133,4
12/11/2016,2016YY220179,131446,ON#2426,267,161,3
10/07/2015,2015XX227025,122821,ON#2387,477,179,3
10/07/2015,2015XX227025,122821,ON#2377,366,166,3
10/07/2015,2015XX227025,122821,ON#2385,439,178,3
10/07/2015,2015XX227025,122821,ON#2386,351,107,4
10/07/2015,2015XX227025,122821,ON#2397,487,156,3
10/07/2015,2015XX227025,122821,ON#2418,305,102,3
10/07/2015,2015XX227025,122821,ON#2375,471,153,4
16/05/2018,2018XX225625,121591,ON#2429,305,211,3
06/12/2017,2017XX272602,126181,ON#2372,324,169,3
23/12/2016,2016YY230196,125926,ON#2351,297,206,4
23/12/2016,2016YY230196,125926,ON#2362,486,120,3
12/12/2015,2015XX217106,130186,ON#2428,470,110,3
14/06/2015,2015XX278377,121381,ON#2354,451,137,3
28/09/2015,2015XX254549,133036,ON#2357,229,148,3
28/09/2015,2015XX254549,133036,ON#2446,403,114,4
28/09/2015,2015XX254549,133036,ON#2376,358,109,4
10/12/2017,2017XX248543,127696,ON#2399,385,161,3
10/12/2017,2017XX248543,127696,ON#2402,463,147,4
17/08/2018,2018YY268122,131176,ON#2424,460,130,3
26/10/2016,2016XX217533,124981,ON#2395,380,190,4
17/02/2017,2017XX232968,125056,ON#2440,402,155,4
17/02/2017,2017XX232968,125056,ON#2400,412,110,3
18/10/2016,2016YY261843,132631,ON#2419,239,167,3
18/10/2016,2016YY261843,132631,ON#2442,253,116,4
18/10/2016,2016YY261843,132631,ON#2413,420,189,4
18/10/2016,2016YY261843,132631,ON#2375,392,120,4
18/10/2016,2016YY261843,132631,ON#2435,259,147,3
18/10/2016,2016YY261843,132631,ON#2354,358,124,4
18/10/2016,2016YY261843,132631,ON#2359,399,165,3
20/11/2018,2018XX218940,128671,ON#2367,391,170,3
09/12/2017,2017XX228803,125596,ON#2390,244,211,4
09/12/2017,2017XX228803,125596,ON#2394,411,120,3
28/12/2016,2016XX228628,131821,ON#2360,480,119,4
28/12/2016,2016XX228628,131821,ON#2356,397,193,4
28/12/2016,2016XX228628,131821,ON#2447,340,136,3
28/12/2016,2016XX228628,131821,ON#2355,251,198,3
11/10/2018,2018XX232212,128041,ON#2440,266,197,3
18/08/2017,2017XX212556,130996,ON#2364,463,184,4
20/10/2018,2018XX250832,125191,ON#2415,371,155,3
12/04/2017,2017XX229468,129826,ON#2430,228,112,3
12/04/2017,2017XX229468,129826,ON#2405,361,203,4
21/11/2015,2015XX257916,129976,ON#2430,407,124,3
21/07/2017,2017XX280407,128011,ON#2432,295,194,3
21/07/2017,2017XX280407,128011,ON#2350,216,153,3
19/05/2016,2016XX226955,124111,ON#2381,260,206,3
19/05/2016,2016XX226955,124111,ON#2403,295,181,3
19/05/2016,2016XX226955,124111,ON#2393,287,181,4
19/05/2016,2016XX226955,124111,ON#2433,252,206,4
12/12/2017,2017XX217029,126376,ON#2407,234,143,4
12/12/2017,2017XX217029,126376,ON#2447,423,175,4
18/07/2017,2017XX222895,132166,ON#2406,476,176,4
18/07/2017,2017XX222895,132166,ON#2362,397,169,4
18/07/2017,2017XX222895,132166,ON#2362,335,156,4
18/07/2017,2017XX222895,132166,ON#2437,353,184,4
18/07/2017,2017XX222895,132166,ON#2386,346,196,3
